"US_IL","DS_IL","DIAMETER","MATERIAL","PRES_CLASS","MAX_PRES","MAX_VEL","SURGE_MAX","SURGE_MIN","US_ID","DS_ID","ELEVATION_US","ELEVATION_DS","ROUGHNESS","LENGTH","US_X","US_Y","DS_X","DS_Y","VERTICES","PIPE_ID","SYSTEM_TYPE","PIPE_STATUS","LINING","JOINT_TYPE","INSTALL_YEAR","VELOCITY_FLAG","SURGE_FLAG","CIVIL3D_PN_CLASS","NOTES"
"40.2","40.2","2500","","PN16","6.34","0.03","6.34","3.99","1","40","40.2","40.2","","30.18","8.3700","3.0000","8.2400","2.9900","8.3700 3.0000|8.2400 2.9900","1_40","","open","","","","OK","OK","PN10",""
"44.81","12.8","450","DI","PN16","44.37","1.34","44.37","-4.84","10","101","44.81","12.8","","4328.16","2.7400","8.4900","4.2100","6.9900","2.7400 8.4900|4.2100 6.9900","10_101","","open","","","","OK","CAVITATION","PN64","CAVITATION RISK surge_min=-4.84bar - ARV at Node 10"
"12.8","13.11","400","DI","PN16","44.37","0.9","43.4","27.17","101","103","12.8","13.11","","411.48","4.2100","6.9900","3.9500","6.5000","4.2100 6.9900|3.9500 6.5000","101_103","","open","","","","OK","OK","PN64",""
"12.8","8.69","300","DI","PN16","45.21","1.27","45.21","27.17","101","105","12.8","8.69","","774.19","4.2100","6.9900","5.1700","6.4900","4.2100 6.9900|5.1700 6.4900","101_105","","open","","","","OK","OK","PN64",""
"13.11","6.19","400","DI","PN16","48.59","0.83","48.59","26.86","103","109","13.11","6.19","","1200.91","3.9500","6.5000","5.3800","5.7700","3.9500 6.5000|5.3800 5.7700","103_109","","open","","","","OK","OK","PN64",""
"8.69","6.71","300","DI","PN16","46.98","0.37","46.98","31.49","105","107","8.69","6.71","","448.06","5.1700","6.4900","5.6200","6.2400","5.1700 6.4900|5.6200 6.2400","105_107","","open","","","","OK","OK","PN64",""
"6.71","4.27","200","DI","PN16","47.75","0.73","47.75","33.47","107","115","6.71","4.27","","594.36","5.6200","6.2400","6.3900","5.8500","5.6200 6.2400|6.3900 5.8500","107_115","","open","","","","OK","OK","PN64",""
"6.19","3.05","300","DI","PN16","48.87","1.28","48.87","33.79","109","111","6.19","3.05","","609.6","5.3800","5.7700","6.1600","5.3400","5.3800 5.7700|6.1600 5.3400","109_111","","open","","","","OK","OK","PN64",""
"3.05","0.61","300","DI","PN16","50.51","0.67","50.51","37.21","111","113","3.05","0.61","","512.06","6.1600","5.3400","6.7200","5.0600","6.1600 5.3400|6.7200 5.0600","111_113","","open","","","","OK","OK","PN64",""
"3.05","7.01","300","DI","PN16","48.87","0.71","43.4","37.21","111","197","3.05","7.01","","850.39","6.1600","5.3400","6.3900","4.6300","6.1600 5.3400|6.3900 4.6300","111_197","","open","","","","OK","OK","PN64",""
